20190522,甘井子,第五郡,第五郡五号地,4室4厅,127平米,8500
20190522,甘井子,第五郡,整租·第五郡四号地,4室3厅,230平米,10500
20190522,甘井子,第五郡,三鼎春天,3室2厅,90平米,4000
20190522,甘井子,第五郡,整租·三鼎春天B区,2室1厅,95平米,4500
20190522,甘井子,第五郡,整租·第五郡五号地,3室2厅,68平米,5500
20190522,甘井子,第五郡,整租·美树日记,2室1厅,79平米,3300
20190522,甘井子,第五郡,合租·商务学院,3居室,18平米,1100
20190522,甘井子,第五郡,整租·美树日记,3室1厅,108平米,4100
20190522,甘井子,第五郡,第五郡三号地公寓,2室1厅,78平米,3200
20190522,甘井子,第五郡,三鼎春天,2室2厅,80平米,2600
20190522,甘井子,第五郡,三鼎春天,2室1厅,33平米,3100
20190522,甘井子,第五郡,美树日记,1室1厅,50平米,2500
20190522,甘井子,第五郡,虹港新居,1室1厅,49平米,1700
20190522,甘井子,第五郡,合租·虹港新居,5居室,23平米,850
20190522,甘井子,第五郡,第五郡三号地,2室2厅,105平米,4500
20190522,甘井子,第五郡,虹港新居,2室1厅,68平米,2000
20190522,甘井子,第五郡,恒德橄榄季,2室2厅,80平米,3000
20190522,甘井子,第五郡,整租·城市印象,2室1厅,89平米,3300
20190522,甘井子,第五郡,城市印象,3室2厅,110平米,3700
20190522,甘井子,第五郡,整租·三鼎春天B区,2室2厅,108平米,12500
20190522,甘井子,第五郡,合租·兰花小区,3居室,25平米,950
20190522,甘井子,第五郡,整租·三鼎春天B区,1室4厅,75平米,9000
20190522,甘井子,第五郡,合租·虹港新居,5居室,19平米,800
20190522,甘井子,第五郡,南华街,2室1厅,65平米,2150
20190522,甘井子,第五郡,整租·第五郡三号地公寓,2室1厅,80平米,3500
20190522,甘井子,第五郡,三鼎春天,1室1厅,33平米,2500
20190522,甘井子,第五郡,兰花小区,3室2厅,107平米,2200
20190522,甘井子,第五郡,美树日记,2室1厅,89平米,3300
20190522,甘井子,第五郡,合租·兰花小区,3居室,21平米,850
20190522,甘井子,第五郡,祥和新家园,2室1厅,87平米,2400
20190522,甘井子,第五郡,合租·兰花小区,3居室,18平米,1100
20190522,甘井子,第五郡,整租·第五郡五号地,2室1厅,67平米,3300
20190522,甘井子,第五郡,合租·兰花小区,3居室,22平米,900
20190522,甘井子,第五郡,整租·第五郡五号地,2室1厅,91平米,4900
20190522,甘井子,第五郡,整租·第五郡四号地,2室1厅,79平米,2900
20190522,甘井子,第五郡,虹港新居,2室1厅,69平米,2000
20190522,甘井子,第五郡,整租·三鼎春天A区,3室2厅,94平米,4000
20190522,甘井子,第五郡,整租·城市印象,1室1厅,65平米,2600
20190522,甘井子,第五郡,第五郡五号地,3室2厅,117平米,6200
20190522,甘井子,第五郡,整租·第五郡四号地,1室1厅,53平米,2800
20190522,甘井子,第五郡,合租·兰花小区,3居室,18平米,1100
20190522,甘井子,第五郡,整租·兰花小区,2室1厅,84平米,2900
20190522,甘井子,第五郡,第五郡五号地,3室1厅,124平米,6000
20190522,甘井子,第五郡,第五郡一号地,3室2厅,116平米,4200
20190522,甘井子,第五郡,恒德橄榄季,2室2厅,85平米,3400
20190522,甘井子,第五郡,整租·三鼎春天A区,3室2厅,93平米,4200
20190522,甘井子,第五郡,整租·恒德橄榄季,1室2厅,58平米,2900
20190522,甘井子,第五郡,整租·第五郡五号地,2室1厅,86平米,3500
