20190522,金州,金石滩,鲁能胜地琴海园,5室4厅,251平米,15000
20190522,金州,金石滩,鲁能胜地逸海园,4室1厅,372平米,11000
20190522,金州,金石滩,大连金石天成,3室2厅,104平米,2900
20190522,金州,金石滩,大连金石滩鲁能胜地,4室2厅,110平米,3600
20190522,金州,金石滩,整租·汤景泽温泉小镇,3室2厅,133平米,31000
20190522,金州,金石滩,碧桂园海昌波尔多庄园,4室3厅,160平米,6666
20190522,金州,金石滩,整租·鲁能优山美地,3室2厅,106平米,3000
20190522,金州,金石滩,纳帕溪谷御山,2室2厅,92平米,2000
20190522,金州,金石滩,保亿丽景山,2室1厅,80平米,2600
20190522,金州,金石滩,保亿丽景山,1室1厅,50平米,1600
20190522,金州,金石滩,大连金石天成,2室2厅,85平米,2400
20190522,金州,金石滩,御景园,2室1厅,93平米,2500
20190522,金州,金石滩,鲁能优山美地,3室2厅,160平米,5000
20190522,金州,金石滩,御景园,6室2厅,76平米,3500
20190522,金州,金石滩,整租·金石明珠,2室2厅,94平米,2000
20190522,金州,金石滩,金石明珠,2室2厅,107平米,3000
20190522,金州,金石滩,大连金石滩鲁能胜地,3室2厅,88平米,3000
20190522,金州,金石滩,金石城,3室2厅,109平米,3000
20190522,金州,金石滩,鲁能优山美地,3室2厅,88平米,4500
20190522,金州,金石滩,整租·保亿丽景山,3室2厅,80平米,3000
20190522,金州,金石滩,金石茗苑,2室2厅,90平米,2800
20190522,金州,金石滩,鲁能优山美地,2室1厅,72平米,2600
20190522,金州,金石滩,金石小区,3室2厅,86平米,3200
20190522,金州,金石滩,大连金石天成,2室2厅,85平米,2800
20190522,金州,金石滩,鲁能优山美地,2室1厅,52平米,2200
20190522,金州,金石滩,金石明珠,2室1厅,89平米,2500
20190522,金州,金石滩,鲁能优山美地,2室2厅,80平米,2500
20190522,金州,金石滩,鲁能优山美地,1室1厅,52平米,2000
20190522,金州,金石滩,保亿丽景山,2室1厅,80平米,2600
20190522,金州,金石滩,鲁能胜地琴海园,3室2厅,97平米,3000
20190522,金州,金石滩,整租·大连金石滩鲁能胜地,2室1厅,75平米,2600
20190522,金州,金石滩,远洋假日养生庄园,1室1厅,54平米,1550
20190522,金州,金石滩,金石明珠,2室1厅,92平米,2300
20190522,金州,金石滩,保亿丽景山,2室1厅,120平米,3499
20190522,金州,金石滩,金石明珠,2室1厅,65平米,1500
20190522,金州,金石滩,远洋假日养生庄园,2室1厅,58平米,1500
20190522,金州,金石滩,鲁能优山美地,2室2厅,91平米,2700
20190522,金州,金石滩,大连金石天成,1室1厅,58平米,1600
20190522,金州,金石滩,远洋假日养生庄园,1室1厅,54平米,1300
